degradation,severity,n,acc,acc_lo,acc_hi,verb_parse,auroc_verb,verb_lo,verb_hi,auroc_int,int_lo,int_hi,aurc_int,ece_int,ece_verb,brier_int
clean,0,100,0.96,0.92,0.99,1.0,0.53125,0.375,0.8783549783549782,0.9635416666666666,0.8787878787878788,1.0,0.002360246251446429,0.014237411518891595,0.06949999999999956,0.02636938866588837
jpeg,1,100,0.97,0.93,1.0,1.0,0.6512027491408935,0.4742268041237113,0.98989898989899,0.9656357388316151,0.9191919191919192,1.0,0.001496067012260315,0.014427522420883243,0.07199999999999973,0.02528638405273861
jpeg,2,100,0.94,0.89,0.98,1.0,0.48936170212765956,0.47282608695652173,0.5,0.9645390070921985,0.9106529209621993,1.0,0.004017893624413243,0.037324300805727795,0.041499999999999655,0.044715855549565434
jpeg,3,100,0.74,0.66,0.82,1.0,0.5358627858627859,0.4767373461012312,0.6118189873417721,0.9116424116424117,0.8547522321428571,0.9577681679655363,0.05995700170032862,0.17547741381327298,0.15500000000000005,0.17654864079088564
motion_blur,1,100,0.97,0.93,1.0,0.86,0.6666666666666666,0.5,1.0,0.9072164948453608,0.696969696969697,1.0,0.003696417701025585,0.017588374863068294,0.0656976744186043,0.01598186872172115
motion_blur,2,100,0.98,0.95,1.0,0.97,0.4789473684210526,0.4574468085106383,0.4947916666666667,0.9336734693877551,0.8464564732142857,1.0,0.0015882270905569506,0.0077759752919275595,0.08350515463917482,0.018069798083960757
motion_blur,3,100,0.94,0.89,0.98,1.0,0.6542553191489362,0.48404255319148937,0.8816842105263153,0.9875886524822695,0.9609832114361702,1.0,0.0025811068426745774,0.03741417961815987,0.05149999999999973,0.03659402684326656
low_light,1,100,0.92,0.87,0.97,1.0,0.532608695652174,0.3401606839679845,0.7187536002304147,0.9918478260869565,0.9690558871405317,1.0,0.003958163818182709,0.05571137949824348,0.04200000000000026,0.04560377351941122
low_light,2,100,0.83,0.75,0.9,0.99,0.4661144578313253,0.337584369152633,0.5977059098462817,0.9716513111268604,0.9374872967479675,0.9938951800232289,0.02008931041349164,0.10850869367520019,0.04747474747474743,0.10678889302401745
low_light,3,100,0.6,0.51,0.69,1.0,0.51375,0.41064319212719025,0.6156098901098901,0.9475,0.9035294344030715,0.9791666666666666,0.11417306663666728,0.25670218507448833,0.2709999999999997,0.21907009563711477
glare,1,100,0.95,0.9,0.99,1.0,0.6010526315789474,0.3888888888888889,0.8983199340342196,0.968421052631579,0.909989065916901,1.0,0.002903034959422306,0.02031777570645018,0.060999999999999915,0.03018204117880509
glare,2,100,0.89,0.82975,0.95,1.0,0.5561797752808989,0.4578835386338186,0.6923391215526045,0.940755873340143,0.8894764023518195,0.979572205167207,0.01284754819937619,0.07909762683014071,0.009500000000000322,0.07647551670449258
glare,3,100,0.72,0.62975,0.81,1.0,0.5491071428571429,0.4685201488095238,0.6343210587865193,0.9216269841269841,0.8566140805901603,0.9732923368204319,0.06989063552355775,0.17772495996952054,0.1710000000000001,0.16223389089437795
rotation,1,100,0.94,0.89,0.98,0.99,0.717741935483871,0.47913925438596494,0.9580032555615844,0.973404255319149,0.9326315789473684,1.0,0.0034559726483864447,0.03612731310228497,0.04444444444444419,0.04199817960942427
rotation,2,100,0.96,0.92,0.99,1.0,0.7447916666666666,0.4897959183673469,1.0,0.984375,0.9490660580021483,1.0,0.001440803854365579,0.013342271894216683,0.06149999999999956,0.02095391791189427
rotation,3,100,0.98,0.95,1.0,1.0,0.4897959183673469,0.4742268041237113,0.5,0.9540816326530612,0.898989898989899,0.98989898989899,0.0011356270866888106,0.00968589286009475,0.08199999999999964,0.018755883339377326
resample,1,100,0.97,0.93,1.0,0.99,0.4895833333333333,0.4739583333333333,0.5,0.9725085910652921,0.8979591836734694,1.0,0.0013101903600322583,0.02157727738221503,0.07171717171717147,0.022017516558631454
resample,2,100,0.98,0.95,1.0,1.0,0.4897959183673469,0.4744240479697034,0.5,0.9693877551020408,0.9285714285714286,1.0,0.0008164540683502404,0.00886391878128058,0.08199999999999964,0.017801513810950312
resample,3,100,0.93,0.88,0.98,1.0,0.5606758832565284,0.4782608695652174,0.7395833333333334,0.8740399385560675,0.642089093701997,0.9918303392991962,0.01577544288453807,0.03511358420054114,0.040999999999999766,0.05131253575717146
