degradation,severity,n,acc,acc_lo,acc_hi,verb_parse,auroc_verb,verb_lo,verb_hi,auroc_int,int_lo,int_hi,aurc_int
clean,0,100,0.96,0.92,0.99,0.32,0.632183908045977,0.4298029556650246,0.9833333333333333,0.6171875,0.19673539518900343,1.0,0.02920149430902854
jpeg,1,100,0.95,0.9,0.99,0.7,0.5923076923076923,0.47761194029850745,0.8064831149193549,0.8505263157894737,0.7420249593054802,0.954330598218669,0.009413005365204242
jpeg,2,100,0.92,0.86,0.97,0.83,0.5833333333333334,0.5,0.7526785714285731,0.8641304347826086,0.5866315789473684,1.0,0.05022626156021976
jpeg,3,100,0.71,0.62,0.8,0.93,0.5892857142857143,0.52,0.6666666666666666,0.9344341913550267,0.8835869483485193,0.971960129422816,0.06640733329244114
motion_blur,1,100,0.97,0.93,1.0,0.54,0.6666666666666666,0.5,1.0,0.7422680412371134,0.20202020202020202,1.0,0.01511665277523355
motion_blur,2,100,0.97,0.93,1.0,0.62,0.5,0.5,0.5,0.7663230240549829,0.2727272727272727,1.0,0.012408247301535726
motion_blur,3,100,0.92,0.86,0.97,0.66,0.6666666666666666,0.5,0.9,0.9252717391304348,0.7430662139219015,1.0,0.0123159580544063
low_light,1,100,0.9,0.84,0.95,0.36,0.5472222222222223,0.43321839080459773,0.7344209558823529,0.7011111111111111,0.4822656744005059,0.9009905185656019,0.051331174951378566
low_light,2,100,0.85,0.77,0.92,0.23,0.6818181818181818,0.5454545454545454,0.8333333333333334,0.6227450980392157,0.3863434343434343,0.8370535714285714,0.1296243410300545
low_light,3,100,0.59,0.49,0.68,0.42,0.5816326530612245,0.3165277777777778,0.7969066722972973,0.8594460520876395,0.7670331551937027,0.9371767900856793,0.205260889462474
glare,1,100,0.93,0.87,0.98,0.49,0.6511627906976745,0.4777777777777778,0.8557936507936506,0.7649769585253456,0.5390026129152669,0.9893617021276596,0.025424080746878103
glare,2,100,0.82,0.74,0.89,0.66,0.6662665066026411,0.5555555555555556,0.7857142857142857,0.7926829268292683,0.6759844042542126,0.9050121609432382,0.06474318402104562
glare,3,100,0.65,0.56,0.74,0.74,0.6329670329670329,0.5457504452867603,0.7246263931104354,0.814945054945055,0.7183468415775401,0.9013384734620964,0.1582992776691622
rotation,1,100,0.94,0.89,0.98,0.74,0.6666666666666666,0.5,0.9,0.8067375886524822,0.6240334019675131,0.984375,0.016204089761760593
rotation,2,100,0.95,0.9,0.99,0.8,0.6,0.5,0.8333333333333334,0.8968421052631579,0.751578947368421,1.0,0.0071076782319167775
rotation,3,100,0.98,0.95,1.0,0.78,0.743421052631579,0.4866666666666667,1.0,0.673469387755102,0.5555555555555556,0.7878787878787878,0.008076810261353378
resample,1,100,0.97,0.93,1.0,0.72,0.5,0.5,0.5,0.8384879725085911,0.47959183673469385,1.0,0.007032731894112053
resample,2,100,0.98,0.95,1.0,0.78,0.5,0.5,0.5,0.8520408163265306,0.6363636363636364,1.0,0.0036882647428726255
resample,3,100,0.91,0.85,0.96,0.77,0.5,0.5,0.5,0.7948717948717948,0.6018877635046113,0.9616065167301142,0.03177415226213444
