degradation,severity,n,acc,acc_lo,acc_hi,verb_parse,auroc_verb,verb_lo,verb_hi,auroc_int,int_lo,int_hi,aurc_int
clean,0,100,0.99,0.97,1.0,1.0,0.9090909090909091,0.8697916666666666,0.9444444444444444,1.0,1.0,1.0,5.000000000000009e-05
jpeg,1,100,0.97,0.93,1.0,1.0,0.5481099656357389,0.3520408163265306,0.8888888888888888,1.0,1.0,1.0,0.0004540610183467335
jpeg,2,100,0.95,0.9,0.99,1.0,0.8789473684210526,0.8351063829787234,0.921875,0.991578947368421,0.9721985899405254,1.0,0.0016894206734869364
jpeg,3,100,0.84,0.76,0.91,1.0,0.7008928571428571,0.611264666509174,0.7756465517241379,0.9389880952380952,0.8767446179401993,0.9867282291341033,0.02439333315685342
motion_blur,1,100,0.97,0.93,1.0,1.0,0.8247422680412371,0.7755102040816326,0.8736842105263158,1.0,1.0,1.0,0.0004540610183467335
motion_blur,2,100,0.97,0.93,1.0,1.0,0.5463917525773195,0.5204081632653061,0.5789473684210527,0.9896907216494846,0.9591836734693877,1.0,0.0007665836264132914
motion_blur,3,100,0.97,0.93,1.0,1.0,0.5257731958762887,0.5053191489361702,0.5508658008658008,0.9759450171821306,0.9175257731958762,1.0,0.0011990792489211474
low_light,1,100,0.95,0.9,0.99,1.0,0.5578947368421052,0.5308726067746686,0.5924599394890183,0.9894736842105263,0.9583333333333334,1.0,0.0018082738670995675
low_light,2,100,0.92,0.86,0.97,1.0,0.5054347826086957,0.5,0.5168539325842697,0.9592391304347826,0.9022210144927537,0.9957894736842106,0.0067057400163308845
low_light,3,100,0.8,0.72,0.87,1.0,0.55,0.5,0.625,0.885625,0.8001354586301864,0.9529457720588235,0.048280012160748745
glare,1,100,0.95,0.9,0.99,1.0,0.8157894736842105,0.7659574468085106,0.8622448979591837,0.9978947368421053,0.9893617021276596,1.0,0.0013757782445917113
glare,2,100,0.9,0.84,0.95,1.0,0.6611111111111111,0.6123595505617978,0.7102272727272727,0.9522222222222222,0.8909586296056884,0.9966777408637874,0.010289461741934527
glare,3,100,0.78,0.69,0.86,1.0,0.5576923076923077,0.5246913580246914,0.5964064591700132,0.9312354312354313,0.868411173960373,0.9790246212121212,0.04326137558536145
rotation,1,100,0.96,0.92,0.99,1.0,0.8802083333333334,0.8350515463917526,0.9226804123711341,0.9947916666666666,0.9747368421052631,1.0,0.001019634543749923
rotation,2,100,0.97,0.93975,1.0,1.0,0.8814432989690721,0.8368421052631579,0.9226804123711341,1.0,1.0,1.0,0.0004540610183467335
rotation,3,100,0.98,0.95,1.0,1.0,0.8775510204081632,0.8333333333333334,0.9183673469387755,0.9948979591836735,0.9791827749140893,1.0,0.00030305091733663164
resample,1,100,0.98,0.95,1.0,1.0,0.7448979591836735,0.696969696969697,0.7959183673469388,1.0,1.0,1.0,0.0002010101010101008
resample,2,100,0.98,0.95,1.0,1.0,0.6275510204081632,0.5867346938775511,0.671875,0.9948979591836735,0.9722274289284598,1.0,0.00030305091733663164
resample,3,100,0.94,0.89,0.98,1.0,0.5159574468085106,0.5,0.5357695139911635,0.9539007092198581,0.8778992352676563,1.0,0.004785054753233188
