degradation,severity,coverage,selective_acc,error_admit_rate
clean,0,0.9,0.9888888888888889,0.01
glare,1,0.83,1.0,0.0
glare,2,0.74,1.0,0.0
glare,3,0.59,0.9661016949152542,0.02
jpeg,1,0.87,1.0,0.0
jpeg,2,0.85,0.9882352941176471,0.01
jpeg,3,0.55,1.0,0.0
low_light,1,0.76,1.0,0.0
low_light,2,0.71,1.0,0.0
low_light,3,0.4,1.0,0.0
motion_blur,1,0.87,0.9885057471264368,0.01
motion_blur,2,0.84,1.0,0.0
motion_blur,3,0.86,1.0,0.0
resample,1,0.91,0.989010989010989,0.01
resample,2,0.88,1.0,0.0
resample,3,0.81,0.9876543209876543,0.01
rotation,1,0.85,1.0,0.0
rotation,2,0.87,1.0,0.0
rotation,3,0.9,1.0,0.0
