degradation,severity,coverage,selective_acc,error_admit_rate
clean,0,0.9,0.9777777777777777,0.02
glare,1,0.9,0.9666666666666667,0.03
glare,2,0.81,0.9012345679012346,0.08
glare,3,0.65,0.8153846153846154,0.12
jpeg,1,0.98,0.9591836734693877,0.04
jpeg,2,0.94,0.9787234042553191,0.02
jpeg,3,0.78,0.8461538461538461,0.12
low_light,1,0.87,0.9425287356321839,0.05
low_light,2,0.8,0.9125,0.07
low_light,3,0.48,0.875,0.06
motion_blur,1,0.97,0.9896907216494846,0.01
motion_blur,2,0.96,0.9895833333333334,0.01
motion_blur,3,0.91,0.989010989010989,0.01
resample,1,0.97,0.9896907216494846,0.01
resample,2,0.96,0.9895833333333334,0.01
resample,3,0.78,0.9487179487179487,0.04
rotation,1,0.92,0.967391304347826,0.03
rotation,2,0.93,0.978494623655914,0.02
rotation,3,0.96,0.9791666666666666,0.02
